,id,name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Term,Popularity
15042,760817662088119049,Bkk/BTS Surasak/温馨loft公寓3/免费泳池/健身房/WIFI/免费停车,Sathon,13.71408,100.53268,Entire home/apt,1362,2,2022-12-26,2.0,7,High,2,Short,Populer
15043,761212390514567319,STAY-DIUM House @Huamark -SD3 (Back),Bang Kapi,13.75408,100.62739,Private room,806,0,1970-01-01,0.0,32,High,0,Short,Unpopuler
15044,761219499483390501,"Ekamai 12, Near Donki shop, 11Fl, quite room, 35m²",Vadhana,13.72994,100.58675,Entire home/apt,1500,1,2022-12-28,1.0,9,High,1,Short,Unpopuler
15045,761242176037281204,STAY-DIUM House @Huamark - (SD2&3),Bang Kapi,13.7550462,100.6270655,Private room,1806,0,1970-01-01,0.0,32,High,0,Short,Unpopuler
15046,761286893567617849,素坤逸/Ekkamai BTS/Gateway商场/曼谷大学/无边泳池/健身房,Khlong Toei,13.7168468,100.5847812,Entire home/apt,2099,1,2022-12-10,1.0,3,High,1,Short,Unpopuler
15047,761288263824206270,BKK Sukhumvit 2ppl 1B Condo Wifi GYM POOL Thonglor,Vadhana,13.73901,100.58896,Entire home/apt,1450,0,1970-01-01,0.0,6,Low,0,Short,Unpopuler
15048,761295791137827984,Pool view room near Bangkok University,Khlong Toei,13.71157,100.58169,Entire home/apt,1800,0,1970-01-01,0.0,10,High,0,Short,Unpopuler
15049,761295860350885041,"Luxury Room Near BTS 300m
40sqm",Khlong Toei,13.70808,100.59744,Private room,2000,1,2022-12-13,1.0,16,High,1,Short,Unpopuler
15050,761305139486175340,1 BR Lumpini Condotown Ramintra-Navamin 419,Khan Na Yao,13.8366153,100.6627672,Entire home/apt,356,0,1970-01-01,0.0,3,High,0,Long,Unpopuler
15051,761314849574342927,"1 Bed condo, Bangkok CBD, 270meters to BTS Asoke",Vadhana,13.73601068424233,100.56280621691894,Private room,1818,0,1970-01-01,0.0,1,High,0,Long,Unpopuler
15052,761314880857440434,Comfort room n Suvarabhumi-Free pickup BKK airport,Lat Krabang,13.758934659921591,100.74587278068066,Private room,1300,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
15053,761435034600497636,1 bedroom for Rent in Sukhumvit,Khlong Toei,13.7256,100.56396,Entire home/apt,1200,0,1970-01-01,0.0,7,High,0,Long,Unpopuler
15054,761452218773236841,17 Bangkok泳池 Wi-Fi Terminal 21,Bang Kho laen,13.7005999,100.5164468,Entire home/apt,1300,0,1970-01-01,0.0,20,High,0,Long,Unpopuler
15055,761453134688455629,15Terminal 21 Rama 3 泳池 健身房 Wi-Fi,Bang Kho laen,13.70163,100.5147,Entire home/apt,800,1,2022-12-14,1.0,20,High,1,Long,Unpopuler
15056,761730987577311793,曼谷市中心loft公寓/近BTS，毗邻曼谷河滨！美食街 帕蓬夜市14分钟可达/WIFI/游泳池免费,Sathon,13.7107766,100.5198909,Entire home/apt,1370,0,1970-01-01,0.0,6,High,0,Short,Unpopuler
15057,761732077403679711,曼谷市中心loft公寓/近BTS，毗邻曼谷河滨！美食街 帕蓬夜市14分钟可达/WIFI/游泳池免费,Sathon,13.7107766,100.5198909,Entire home/apt,1276,1,2022-12-26,1.0,6,High,1,Short,Unpopuler
15058,761764195174192961,Open airy space above trendy Thonglor,Vadhana,13.73174,100.58043,Private room,1100,1,2022-12-12,1.0,2,Low,1,Short,Unpopuler
15059,762812604986646992,BTS Asoke 6bedroom townhouse,Vadhana,13.7393664,100.5607405,Entire home/apt,8500,1,2022-12-13,1.0,1,High,1,Short,Unpopuler
15060,762947149956508281,Luxury Studio/Sky Pool/5mins from MRT Rama9,Ratchathewi,13.7541882,100.5632693,Entire home/apt,1200,0,1970-01-01,0.0,2,Low,0,Short,Unpopuler
